GCI_rank,ICE_rank,GCI_index,ICE_index,LPIBE
10,11,0.210069218,0.95,12.15731751
2,5,2.204094331,1.13,13.07762108
27,26,-0.884836349,-0.68,11.66157836
30,28,-0.951071765,-0.91,13.4386056
28,29,-0.884836349,-0.92,12.59143424
5,3,1.159870029,1.25,13.09333308
7,9,0.715215675,0.97,13.23429314
32,31,-1.120745802,-0.99,11.44788824
11,7,0.049837803,1.01,14.82658478
12,19,0.020057991,0.16,12.17028291
13,16,0.000184617,0.32,13.33761153
31,27,-1.104506068,-0.71,12.3356042
20,15,-0.494228529,0.43,12.40108329
14,13,-0.063988311,0.75,13.88060214
8,4,0.335331477,1.25,14.15361856
29,22,-0.907134675,-0.18,12.84701939
16,12,-0.197256068,0.89,12.13168551
22,30,-0.548105639,-0.95,11.59898143
1,2,2.830485451,1.32,13.96493753
26,24,-0.846448651,-0.6,12.43017216
17,18,-0.358718266,0.21,13.17343792
15,6,-0.099821268,1.12,12.74451282
9,17,0.286481256,0.28,12.35987628
4,10,1.452416164,0.96,12.66576184
25,25,-0.821892079,-0.62,12.73692986
6,8,0.915560228,0.98,13.16713969
24,32,-0.807520295,-1.01,13.24421676
3,1,1.881628907,1.58,13.0771386
18,14,-0.367484679,0.73,11.41158484
19,20,-0.468002181,0.11,13.56805556
23,23,-0.622935919,-0.19,12.31877063
21,21,-0.511700254,-0.1,11.96278032
